sample_plot_id,longitude,latitude,起源,郁闭度,林分密度（株每公顷）,平均树高（米）,平均胸径（厘米）,龄组,tree_species_composition,tip1,tip2
43-411262-Y-03793,113.1423789,27.31133392,天然,0.62,2295,8.6,9.1,幼龄林,6栎类 2其它硬阔1杉木 1马尾松,阔叶林,栎类林
43-422231-N-00810,113.08006935367506,27.293805104617277,人工,0.45,1305,8.5,12.5,中龄林,8杉木1花榈木1栎类,针叶林,杉木林
43-421262-Y-04421,113.2555497880698,26.91253333741764,人工,0.65,1560,9.7,8.6,幼龄林,4木荷 4枫香 1栎类 1其它硬阔类 ,阔叶林,其他难燃阔叶林
43-422131-Y-03860,113.74659135602349,27.264059673593753,人工,0.75,1245,11.5,14.7,中龄林,9杉木 1阔叶树,针叶林,杉木林
43-423131-Y-04039,113.54031200006834,27.169642502257464,人工,0.85,1740,13.4,15.7,近熟林,10杉木,针叶林,杉木林
43-422131-Y-04097,113.50152434694928,27.125062593676358,人工,0.72,1560,14.5,13.4,中龄林,10杉木,针叶林,杉木林
43-422131-N-00811,113.76631253563934,27.281909649635292,人工,0.72,1755,9.7,11.3,中龄林,10杉木,针叶林,杉木林
43-422231-Y-03918,113.54364322313923,27.23234744338328,人工,0.51,1995,9.8,10.5,中龄林,8杉木 2其它软阔类,针叶林,杉木林
43-423231-Y-04036,113.30100390277256,27.16470957706626,人工,0.65,1530,9.4,13.1,近熟林,8杉木 2阔叶树,针叶林,杉木林
43-422147-N-00910,113.35772817304273,26.95979595065477,人工,0.75,2355,11.5,12.3,中龄林,7木荷 2马尾松 1栎类,阔叶林,其他难燃阔叶林
43-431263-Y-03742,113.83055796544376,27.334937561140773,人天混,0.65,1245,7.6,11.3,幼龄林,6杉木 2栎类 1枫香 1其它软阔类 ,针阔混交林,针叶针阔混交林
43-412241-N-00787,113.84886059589353,27.352396334278033,天然,0.45,645,10.3,11.6,中龄林,8栎类 1木荷 1其它硬阔类,阔叶林,栎类林
43-412249-Y-03859,113.66560076392832,27.26617688081093,天然,0.45,555,12.3,15.7,中龄林,7其它硬阔类 2檫木 1栎类,阔叶林,其他难燃阔叶林
43-423263-Y-03981,113.7422673201165,27.191435484270038,人工,0.65,1995,10.5,11.4,近熟林,5杉木 2杨树 2其它软阔类 1楠木 ,针阔混交林,针叶针阔混交林
43-412266-Y-04100,113.74327410367837,27.120428750642695,天然,0.59,3345,15.1,10.5,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-412352-Y-03858,113.58509566968753,27.267733123132142,天然,0.35,285,10.4,15.6,中龄林,8檫木 2其它硬阔类,阔叶林,其他难燃阔叶林
43-422326-N-00864,113.43949712536629,27.107596232544314,人工,0.39,690,13.2,16.1,中龄林,9国外松 1栎类,针叶林,其他易燃针叶林
43-424231-Y-03741,113.74856064515872,27.328432113747564,人工,0.65,405,11.2,12.7,成、过熟林,8杉木 1栎类 1其它硬阔类,针叶林,杉木林
43-413262-Y-04040,113.62316203570906,27.15903672261403,天然,0.6,1305,15.3,10,近熟林,6其它软阔类 3杉木 1其它硬阔类,针阔混交林,针叶针阔混交林
43-412266-Y-04155,113.54111886045037,27.088389767496768,天然,0.61,4530,11.5,10.7,壮龄竹,10毛竹,竹、灌,竹、灌
43-424231-N-00827,113.72507751741342,27.246644848415357,人工,0.65,1065,11.9,17.7,成、过熟林,7杉木 3其它软阔类,针叶林,杉木林
43-412266-Y-04156,113.6219336338575,27.086525991687548,天然,0.61,2490,12.2,10.1,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-412266-Y-04099,113.6627990186055,27.122059704152363,天然,0.65,2145,9.6,8.9,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-422134-Y-03740,113.58717218726164,27.339858332046166,人工,0.75,1050,13.6,15.2,中龄林,7池杉—2杉—1樟树,针叶林,杉木林
43-421261-Y-03980,113.66423453484622,27.194429140908458,人工,0.45,765,9.5,8.7,幼龄林,6枫香 2杉木 1栎类 1其它软阔类 ,阔叶林,枫香林
43-432263-Y-04038,113.46202560851704,27.161750743518315,人天混,0.52,330,15.9,16.5,中龄林,5栎类 3马尾松 1国外松 1樟木,阔叶林,栎类林
43-422163-N-04367,113.30423979146828,26.94214434183208,人工,0.72,1500,8.2,13.3,中龄林,5马尾松 4木荷 1其它硬阔类 ,针阔混交林,针叶针阔混交林
43-422231-N-00848,113.64268529566613,27.17607259479696,人工,0.61,840,10.5,14.6,中龄林,10杉木,针叶林,杉木林
43-413262-Y-04210,113.58121048523243,27.05147411929842,天然,0.55,600,9.5,9.5,近熟林,5杨树 3其它软阔类 1楠木 1其它硬阔类,阔叶林,其他难燃阔叶林
43-424231-Y-03738,113.42554166792837,27.34284679249923,人工,0.65,1800,9.5,12.3,成、过熟林,8杉木 2马尾松,针叶林,杉木林
43-433263-N-00828,113.80576001606542,27.245050152616262,人天混,0.65,1410,13.8,21.1,近熟林,4杉木 3栎类 3枫香,针阔混交林,针叶针阔混交林
43-412166-Y-04209,113.50015856396381,27.05269544094001,天然,0.71,3885,10.5,8.1,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-422222-N-00893,113.2801340258056,27.005215644547892,人工,0.65,720,9.6,18.7,中龄林,10马尾松,针叶林,马尾松林
43-422161-Y-04262,113.4589475056309,27.01713132098774,人工,0.72,2700,15.1,13.9,中龄林,6杉木 2木荷 1马尾松 1栎类,针阔混交林,针叶针阔混交林
43-411149-Y-03798,113.54593853886253,27.30423178238467,天然,0.75,2160,13.2,12.1,幼龄林,9其它硬阔类 1杉木,阔叶林,其他难燃阔叶林
43-412266-Y-04041,113.70405060522488,27.157473299621294,天然,0.59,3660,12.5,10.5,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-412266-Y-03794,113.22302389034084,27.310319232726965,天然,0.65,2955,13,10.5,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-412166-Y-04042,113.78498028570986,27.155348334568604,天然,0.75,3015,15.5,11.3,壮龄竹,10毛竹,竹、灌,竹、灌
43-433163-Y-03800,113.70745039911324,27.30136716929595,人天混,0.72,990,10.5,11.9,近熟林,4杉木 3栎类 2樟木 1泡桐 ,针阔混交林,针叶针阔混交林
43-424242-Y-03921,113.7861762895801,27.227896946031294,人工,0.55,810,18.2,15.7,成、过熟林,8桤木 1栎类 1枫香,阔叶林,其他难燃阔叶林
43-432263-Y-03854,113.26232482720967,27.273335479137863,人天混,0.55,720,11.9,10.8,中龄林,6杉1枫香1樟树1栎类1杜英,针阔混交林,针叶针阔混交林
43-411262-Y-03919,113.62511678198555,27.231230457854306,天然,0.65,2145,13.5,12.9,幼龄林,5栎类 2木荷 2泡桐 1杉木 ,阔叶林,栎类林
43-424242-Y-03920,113.70561372600675,27.229225421622676,人工,0.5,990,12.3,16.4,成、过熟林,8桤木 2枫香,阔叶林,其他难燃阔叶林
43-422261-Y-04422,113.32958247429863,26.90422905706855,人工,0.65,1815,6.2,8.4,中龄林,6马尾松 2国外松 2阔叶树,针叶林,马尾松林
43-412266-N-00847,113.60264194411633,27.176858908189747,天然,0.65,3120,12.5,9.9,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-411263-N-04212,113.7411467,27.04866995,天然,0.5,1245,6.2,10.5,幼龄林,5马尾松 3木荷 1杉木 1其它硬阔类,针阔混交林,针叶针阔混交林
43-423322-Y-04812,113.69167708122336,26.65241516004471,人工,0.25,285,10.8,23.3,近熟林,9马尾松 1湿地松,针叶林,马尾松林
43-411162-Y-04927,113.77020592406438,26.578959210703033,天然,0.8,4605,9.33,10,幼龄林,5木荷 2樟木 2其它硬阔类 1杉木 ,阔叶林,其他难燃阔叶林
43-411263-Y-04591,113.77588892598294,26.795397517601714,天然,0.5,1710,7.7,10.9,幼龄林,4马尾松2冬青1栎类1木荷1杨梅1乌柏,针阔混交林,针叶针阔混交林
43-411262-Y-04158,113.7823654099692,27.083954399393747,天然,0.65,2865,8.1,9.7,幼龄林,4冬青3栎类1漆树1杜梨1其他,阔叶林,其他难燃阔叶林
43-412262-Y-04644,113.7354659,26.75948901,天然,0.55,1905,9.1,13.2,中龄林,5木荷3杉木2杜英,针阔混交林,阔叶针阔混交林
43-411262-Y-04870,113.81137805406149,26.613641775775193,天然,0.5,1350,8.6,11.3,幼龄林,3青冈 3楠木 2杉木 1其它软阔类 1枫香,阔叶林,其他难燃阔叶林
43-411262-Y-04264,113.6193917053572,27.014436011622024,天然,0.5,1410,9.7,11.9,幼龄林,3樟木2石楠1木荷1杉木2其他,针阔混交林,针叶针阔混交林
43-422231-Y-04926,113.6904276,26.58075579,人工,0.45,1665,10.1,13.1,中龄林,7杉木 2枫香 1杜英,针叶林,杉木林
43-422231-N-00938,113.4340197,26.85499335,人工,0.65,2715,8.4,10.8,中龄林,7杉木 1木荷 1青冈 1其它硬阔类,针叶林,杉木林
43-421261-N-01000,113.55065394594715,26.672670470516607,人工,0.65,3000,8.4,11.6,幼龄林,5杉木 4湿地松 1木荷,针叶林,杉木林
43-412262-Y-04984,113.64917730300772,26.54533763907989,天然,0.5,960,13.7,12.8,中龄林,3樟木 2香椿 2栎类 1枫香 1杉木1其他,阔叶林,其他难燃阔叶林
43-412262-N-00894,113.67871022970712,26.995007504616694,天然,0.4,1485,10.8,11,中龄林,4木荷 3栎树 1其他软阔 1杉木,阔叶林,其他难燃阔叶林
43-432263-Y-04645,113.81489272489625,26.75835327781141,人天混,0.6,1200,12.9,15.3,中龄林,4杉木2木荷2马尾松1拟赤杨1其他,针阔混交林,针叶针阔混交林
43-412244-N-01042,113.59629012355363,26.568427096952412,天然,0.5,930,13.3,16.4,中龄林,7樟木 3马尾松 ,阔叶林,樟木林
43-411263-Y-04479,113.53621663272361,26.871812147819128,天然,0.6,2640,6.1,8.9,幼龄林,4杉木 4其它硬阔类 1木荷 1马尾松,针阔混交林,针叶针阔混交林
43-411262-Y-04211,113.66100669337402,27.049678296984382,天然,0.55,1965,7.4,10.1,幼龄林,3冬青2朴树2榉树1杉木拟赤杨1其它,阔叶林,其他难燃阔叶林
43-412262-Y-04700,113.77419124278231,26.72307991387447,天然,0.6,2445,10.3,12.1,中龄林,4其它硬阔类 2楠木 2其它软阔类 2杉木,阔叶林,其他难燃阔叶林
43-411262-N-00999,113.3900637012805,26.675464654297343,天然,0.6,2685,7.3,8.3,幼龄林,3栎类 3木荷 2马尾松 1杉木 1樟木,针阔混交林,针叶针阔混交林
43-412163-N-01027,113.70951691323683,26.597572586638023,天然,0.75,3570,12.7,11.6,中龄林,4杉木 3其它硬阔类 2木荷 1其它软阔类,针阔混交林,针叶针阔混交林
43-421231-N-00911,113.63761386562453,26.959705953297203,人工,0.6,2325,8.1,10.8,幼龄林,7杉木 1湿地松 1木荷 1栎类,针叶林,杉木林
43-421231-N-00978,113.67276513682282,26.742579944497265,人工,0.5,2700,6.2,5.4,幼龄林,10杉木 ,针叶林,杉木林
43-422163-Y-04587,113.45411864682399,26.800774659461524,人工,0.8,4515,8.7,9.7,中龄林,4杉木 3枫香 1马尾松 2其它软阔类,针阔混交林,针叶针阔混交林
43-422231-N-00931,113.75658146956118,26.88527814183766,人工,0.55,1380,7.1,11.5,中龄林,8杉木 1杨梅 1马尾松,针叶林,杉木林
43-422249-N-01043,113.74876766093894,26.560742495616637,人工,0.4,1515,9.1,12.7,中龄林,10其它硬阔类,阔叶林,其他难燃阔叶林
43-423222-Y-04641,113.4934232,26.76457578,人工,0.45,1470,11.7,19.2,近熟林,8马尾松 1杉木 1其他,针叶林,马尾松林
43-411262-Y-04985,113.72958520322231,26.54279138154817,天然,0.5,1245,7.3,10.9,幼龄林,5木荷4其他硬阔 1梅叶冬青,阔叶林,其他难燃阔叶林
43-413222-Y-04754,113.572398,26.69057051,天然,0.65,1050,16.8,27.9,近熟林,9马尾松 1栎类 ,针叶林,马尾松林
43-411262-Y-04867,113.571099,26.61822823,天然,0.5,1905,6.4,9.3,幼龄林,6青冈 3其它软阔类 1马尾松,阔叶林,其他难燃阔叶林
43-422231-Y-04925,113.6099241,26.5818304,人工,0.45,750,10.2,16.2,中龄林,7杉木 1樟木 1湿地松 1其它软阔类 ,针叶林,杉木林
43-422131-Y-04482,113.7775433,26.86665794,人工,0.8,3705,8.2,10.8,中龄林,9杉木 1木荷,针叶林,杉木林
43-413222-N-00895,113.7984172,26.99359001,天然,0.65,1515,11.8,9.2,近熟林,7马尾松 2杉木 1其它,针叶林,马尾松林
43-412166-Y-04318,113.66076348914714,26.976103564357516,天然,0.8,1710,8.5,12.6,壮龄竹,10毛竹,竹、灌,竹、灌
43-411162-N-00966,113.764518,26.766416,天然,0.7,1875,8.1,10.3,幼龄林,4木荷2马尾松2樟木1栎类1其它硬阔,阔叶林,其他难燃阔叶林
43-412166-Y-04814,113.85108891134553,26.648285989664885,天然,0.7,4110,11.5,8.9,壮龄竹,10毛竹,竹、灌,竹、灌
43-422231-N-04370,113.5359284,26.94439343,人工,0.65,2865,9.3,11.2,中龄林,9杉木 1木荷,针叶林,杉木林
43-422263-Y-04265,113.70041841266925,27.012886610706175,人工,0.65,2550,8.1,11.7,中龄林,6杉木 3油桐 1其他,针阔混交林,针叶针阔混交林
43-421226-Y-04532,113.41473805342582,26.83792202566326,人工,0.5,1710,5.9,8.2,幼龄林,7湿地松 3杉木,针叶林,湿地松林
43-421226-N-00967,113.83430812089023,26.775515826283765,人工,0.5,1635,7.2,10.1,幼龄林,8湿地松 1栎类 1木荷 ,针叶林,湿地松林
43-422131-N-00964,113.47270102501034,26.78229301267021,人工,0.85,2340,9.9,14.4,中龄林,10杉木 ,针叶林,杉木林
43-423322-N-00988,113.63176884268012,26.707268712524865,人工,0.35,750,11.9,20.3,近熟林,10马尾松,针叶林,马尾松林
43-421163-N-04478,113.448269,26.876353,人工,0.7,3075,7.6,9.9,幼龄林,6杉木 2樟木 1木荷 1其它硬阔类 ,针阔混交林,针叶针阔混交林
43-422226-N-00912,113.71809682388027,26.958176688054436,人工,0.6,1035,10.1,17.3,中龄林,10湿地松 ,针叶林,湿地松林
43-423247-Y-04869,113.73116621921099,26.615331394481643,人工,0.4,4350,9.7,10.3,近熟林,7木荷 2马尾松 1其它硬阔类,阔叶林,其他难燃阔叶林
43-414263-N-01127,113.94282074078467,26.30434651308127,天然,0.65,780,11.6,21.3,成、过熟林,5木荷4马尾松1其它硬阔类,针阔混交林,针叶针阔混交林
43-412262-N-01045,114.0278037,26.55519295,天然,0.62,315,12.3,11,中龄林,5其它硬阔类 5其它软阔类 ,阔叶林,其他难燃阔叶林
43-412249-Y-05042,113.60813255968166,26.509706398017922,天然,0.67,1995,13.3,12.4,中龄林,9其它硬阔类 1其它软阔类 ,阔叶林,其他难燃阔叶林
43-412266-Y-05047,114.01012779676874,26.500778755839715,天然,0.5,3000,6,10,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-414241-Y-05106,114.04840351213981,26.466071836955287,天然,0.65,885,13.3,28.9,成、过熟林,9栎类 1木荷 ,阔叶林,栎类林
43-424131-Y-05283,114.012718,26.358879,人工,0.82,1515,13,22.3,成、过熟林,7杉木 2其它硬阔类 1马尾松 ,针叶林,杉木林
43-422131-Y-05281,113.84538329985996,26.360783174661297,人工,0.8,1830,9.3,10.8,中龄林,9杉木1马尾松,针叶林,杉木林
43-422131-Y-05165,114.0074415443919,26.429618233095084,人工,0.85,2355,13.4,18.7,中龄林,9杉木1马尾松,针叶林,杉木林
43-412162-Y-05635,113.7195048,26.11071821,天然,0.86,2175,8.7,11.6,中龄林,4栎类3木荷3其它硬阔类,阔叶林,栎类林
43-412266-Y-05046,113.92884027955529,26.503643705992317,天然,0.65,2745,11.5,11.2,壮龄竹,10毛竹,竹、灌,竹、灌
43-412149-Y-05451,113.88258577881072,26.251858361574307,天然,0.85,540,9.1,12.7,中龄林,5木荷3杉木2杜英,针阔混交林,阔叶针阔混交林
43-422131-N-01028,113.91006256293701,26.593611096574932,人工,0.8,1770,11,14.1,中龄林,8杉木 2马尾松 ,针叶林,杉木林
43-412162-N-01104,113.9046175312742,26.37727577895413,天然,0.87,2070,5.3,16.5,中龄林,6其它硬阔类 4其它软阔类,阔叶林,其他难燃阔叶林
43-412162-Y-05449,113.72250690247165,26.255308451424014,天然,0.85,1920,11,12.9,中龄林,5其它软阔类  3木荷2栎类,阔叶林,其他难燃阔叶林
43-413149-N-01205,113.73687351280239,26.055875773848015,天然,0.7,990,11.5,18.9,近熟林,10其它硬阔类 ,阔叶林,其他难燃阔叶林
43-412266-Y-05282,113.9259247,26.35891254,天然,0.68,3000,9.1,9.4,壮龄竹,10毛竹,竹、灌,竹、灌
43-412162-Y-05497,113.84156431074439,26.216806730846088,天然,0.73,750,9.7,18.6,中龄林,6木荷3其它硬阔类1枫香,阔叶林,其他难燃阔叶林
43-414162-Y-05105,113.96820226822024,26.466584804645038,天然,0.74,1200,15.1,17.1,成、过熟林,4其它硬阔类 4其它软阔类 2杉木,阔叶林,其他难燃阔叶林
43-422163-N-01044,113.86905751199492,26.558369317689937,人工,0.78,1155,10.3,12.7,中龄林,6杉木 4其它硬阔类,针阔混交林,针叶针阔混交林
43-412249-Y-05396,113.68324638251465,26.29149612284789,天然,0.62,1725,10.6,10,中龄林,7其它硬阔类 2其它软阔类 1杉木 ,阔叶林,其他难燃阔叶林
43-413166-Y-04931,114.09155492761784,26.57237739619984,天然,0.78,2715,12.8,10.8,老龄竹,10毛竹 ,竹、灌,竹、灌
43-412163-Y-05450,113.80251613511166,26.254706658385714,天然,0.75,2265,7.2,11.8,中龄林,5杉木 2其它硬阔类 2杨梅 1楠木,针阔混交林,针叶针阔混交林
43-412162-N-01102,113.70444596620848,26.38120013078145,天然,0.78,2850,12.6,15,中龄林,4其它软阔类 3其它硬阔类 2杉木 1楠木 ,阔叶林,其他难燃阔叶林
43-412162-Y-05160,113.60636525005646,26.437417527097352,天然,0.72,990,9.1,11.8,中龄林,3木荷 3其它软阔类 3杉木 1栎类,针阔混交林,针叶针阔混交林
43-432166-Y-05224,113.96616711502065,26.394984493939376,人天混,0.82,3540,13.3,11.3,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-422231-Y-05103,113.80789297568037,26.46987387807718,人工,0.6,1650,8.8,12.6,中龄林,10杉木 ,针叶林,杉木林
43-422231-Y-05043,113.6894800764444,26.506988455552857,人工,0.6,1515,6.5,9.8,中龄林,8杉木2马尾松,针叶林,杉木林
43-422131-N-01069,113.82719408423964,26.48705522701715,人工,0.9,2085,13.1,11.7,中龄林,7杉木 3其它软阔类 ,针叶林,杉木林
43-414149-Y-05545,113.80100352399359,26.181588415273268,天然,0.8,495,10,26.7,成、过熟林,7其它硬阔类 3其它软阔类 ,阔叶林,其他难燃阔叶林
43-413263-Y-04872,113.97208405603442,26.61097761862237,天然,0.6,1545,14.3,14.9,近熟林,6杉木 2其它软阔类2其它硬阔类,针阔混交林,针叶针阔混交林
43-412163-Y-05164,113.92599701445067,26.43172449029305,天然,0.7,1905,9.3,12.7,中龄林,6其它硬阔类 3杉木 1马尾松 ,针阔混交林,针叶针阔混交林
43-421331-N-01068,113.66689776891701,26.49014218771191,人工,0.3,435,5.9,6.4,幼龄林,7杉木3马尾松,针叶林,杉木林
43-412249-Y-05498,113.92131346664337,26.215081133287697,天然,0.52,675,9.6,16.5,中龄林,9其它硬阔类 1马尾松,阔叶林,其他难燃阔叶林
43-413149-N-01103,113.74448355167465,26.38043760910847,天然,0.85,930,15.3,13.5,近熟林,7其它硬阔类 2其它软阔类 1杉木 ,阔叶林,其他难燃阔叶林
43-414249-N-01070,114.06758812818964,26.482088062714013,天然,0.45,750,14.2,24.8,成、过熟林,9其它硬阔类 1马尾松 ,阔叶林,其他难燃阔叶林
43-414263-N-01115,113.98374810289272,26.33957381198195,天然,0.58,1005,15.8,14.6,成、过熟林,6马尾松 4其它硬阔类 ,针阔混交林,针叶针阔混交林
43-422131-N-01126,113.86280993523042,26.305966996979407,人工,0.75,705,10.4,13.3,中龄林,9杉木 1其它硬阔类 ,针叶林,杉木林
43-422131-Y-04871,113.89184012102487,26.612551139023992,人工,0.8,870,8.3,14.9,中龄林,7杉木 2马尾松 1其它硬阔类,针叶林,杉木林
43-422131-Y-05161,113.68700634906395,26.435950603337858,人工,0.7,2400,9,12.5,中龄林,9杉木 1马尾松 ,针叶林,杉木林
43-423131-N-01153,113.78107184049327,26.23542113417807,人工,0.75,2790,9.3,12.7,近熟林,8杉木 1马尾松1其它软阔类,针叶林,杉木林
43-412263-N-01124,113.622738005055,26.310561138685784,天然,0.56,630,9.2,13.3,中龄林,4其它硬阔类 2马尾松 2杉木 2其它软阔类 ,针阔混交林,针叶针阔混交林
43-424131-Y-05280,113.76553025331873,26.361908668350395,人工,0.8,1620,9.9,18.2,成、过熟林,10杉木 ,针叶林,杉木林
43-423261-Y-05397,113.76326822724707,26.290301210732366,人工,0.62,1830,10.8,13.2,近熟林,6杉木 3木荷 1马尾松,针阔混交林,针叶针阔混交林
43-422261-Y-05496,113.761478,26.217996,人工,0.65,1770,9.6,13.8,中龄林,6杉木 4马尾松 ,针叶林,马尾松林
43-422326-Y-05101,113.64779258755789,26.47276246631492,人工,0.32,630,7.5,11.4,中龄林,10湿地松 ,针叶林,湿地松林
43-413163-Y-05452,113.9611971191937,26.248568851578526,天然,0.7,765,8.9,14.4,近熟林,5其它硬阔类 4杉木 1木荷,针阔混交林,针叶针阔混交林
43-423131-Y-05222,113.80614718564414,26.397862652739207,人工,0.8,2205,9,13.2,近熟林,10杉木,针叶林,杉木林
43-423231-Y-04987,113.8897843,26.54039281,人工,0.6,630,14.2,19.9,近熟林,9杉木1其它硬阔类,针叶林,杉木林
43-413363-Y-05278,113.6052994,26.3653694,天然,0.25,510,8.5,12.2,近熟林,5檫木 3杉木2马尾松,针阔混交林,针叶针阔混交林
43-412259-Y-05339,113.7239624,26.32741689,天然,0.64,2265,11.8,10.6,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-413149-Y-05102,113.72773839641013,26.471455365572808,天然,0.9,1620,8.1,11.5,近熟林,10其它硬阔类 ,阔叶林,其他难燃阔叶林
43-414162-Y-05398,113.8433494,26.28858623,天然,0.81,1230,11.2,15.1,成、过熟林,5其它软阔类 4其它硬阔类 1杉木 ,阔叶林,其他难燃阔叶林
43-422131-Y-05045,113.8486211,26.50513565,人工,0.7,825,12.4,15.8,中龄林,9杉木 1其它硬阔类,针叶林,杉木林
43-422131-Y-05338,113.64406754977779,26.32881831061667,人工,0.78,2730,10.5,8.8,中龄林,7杉木 2其它硬阔类 1其它软阔类 ,针叶林,杉木林
43-413262-Y-04989,114.05018788516293,26.53723441233842,天然,0.6,1050,10.2,16.1,近熟林,6其它硬阔类 3杉木 1其它软阔类 ,针阔混交林,针叶针阔混交林
43-414162-Y-05636,113.7989979,26.10919809,天然,0.85,975,14.8,15.3,成、过熟林,5木荷 3其它硬阔类 1马尾松 1其它软阔类,阔叶林,其他难燃阔叶林
43-423163-Y-05163,113.8469642,26.43245737,人工,0.75,975,9.4,14.5,近熟林,6杉木 4其它软阔类 ,针阔混交林,针叶针阔混交林
43-414149-N-01163,113.7402397354756,26.20012753905479,天然,0.9,615,15.1,23,成、过熟林,8其它硬阔类 2杉木 ,阔叶林,其他难燃阔叶林
43-413163-Y-05341,113.88400345659443,26.323711239682154,天然,0.75,2010,15.7,21.8,近熟林,5马尾松 3其它硬阔类 1栎类 1其它软阔类 ,针阔混交林,针叶针阔混交林
43-412249-Y-05221,113.7255455560827,26.39961109937292,天然,0.62,1215,13.5,18.2,中龄林,10其它硬阔类 ,阔叶林,其他难燃阔叶林
43-423131-Y-05104,113.8881001,26.46815504,人工,0.85,1755,15.2,15.9,近熟林,10杉木 ,针叶林,杉木林
43-412162-N-01184,113.8191646,26.12597479,天然,0.92,2520,10.8,14.9,中龄林,3其它软阔类 2椴树 2栎类1木荷1杉木1其它硬阔类,阔叶林,其他难燃阔叶林
43-413149-Y-05680,113.758634382271,26.073448952007595,天然,0.7,495,9.7,18.7,近熟林,8其它硬阔类 2木荷 ,阔叶林,其他难燃阔叶林
43-422231-N-01125,113.82280200490868,26.306760537169055,人工,0.56,1785,7.7,11.5,中龄林,9杉木 1马尾松 ,针叶林,杉木林
