sample_plot_id,date
43-410141-N-00659,2021-09-24
43-410141-N-00659,2021-10-02
43-410141-N-00659,2021-10-04
43-410141-N-00659,2021-10-24
43-410141-N-00659,2021-11-08
43-410141-N-00659,2021-11-18
43-410141-N-00659,2021-11-23
43-410141-N-00659,2021-11-26
43-410141-N-00659,2021-12-01
43-410141-N-00659,2021-12-03
43-410141-N-00659,2021-12-06
43-410141-N-00659,2021-12-21
43-410141-N-00659,2021-12-23
43-410141-N-00659,2022-03-08
43-410141-N-00659,2022-03-28
43-410141-N-00659,2022-04-05
43-410141-N-00659,2022-04-07
43-410141-N-00659,2022-04-10
43-410141-N-00659,2022-07-24
43-410141-N-00659,2022-07-26
43-410141-N-00659,2022-08-03
43-410141-N-00659,2022-08-08
43-410141-N-00659,2022-08-18
43-410141-N-00659,2022-09-04
43-410141-N-00659,2022-09-07
43-410141-N-00659,2022-09-12
43-410141-N-00659,2022-09-17
43-410141-N-00659,2022-09-27
43-410141-N-00659,2022-09-29
43-410141-N-00659,2022-10-12
43-410141-N-00659,2022-10-14
43-410141-N-00659,2022-11-26
43-410141-N-00659,2022-12-11
43-410141-N-00659,2022-12-18
43-410141-N-00659,2022-12-21
43-410141-N-00659,2023-01-07
43-410141-N-00659,2023-01-10
43-410141-N-00659,2023-01-12
43-410141-N-00659,2023-01-30
43-410141-N-00659,2023-03-06
43-410141-N-00659,2023-03-13
43-410141-N-00659,2023-04-30
43-410141-N-00659,2023-08-18
43-410141-N-00659,2023-08-23
43-410141-N-00659,2023-09-17
43-410141-N-00659,2023-10-14
43-410141-N-00659,2023-10-17
43-410141-N-00659,2023-10-22
43-410141-N-00659,2023-11-01
43-410141-N-00659,2023-11-16
43-410141-N-00659,2023-11-21
43-410141-N-00659,2023-11-28
43-410141-N-00659,2023-12-06
43-410141-N-00659,2023-12-21
43-410141-N-00659,2023-12-23
43-410141-N-00659,2023-12-31
43-410141-N-00659,2024-01-10
43-410141-N-00659,2024-02-11
43-410141-N-00659,2024-03-02
43-410141-N-00659,2024-05-14
43-410141-N-00659,2024-05-24
43-410141-N-00659,2024-06-15
43-410141-N-00659,2024-08-22
43-410141-N-00659,2024-09-01
43-410141-N-00659,2024-09-03
43-410141-N-00659,2024-09-23
43-410141-N-00659,2024-10-23
43-410141-N-00659,2024-10-26
43-410141-N-00659,2024-10-31
43-410141-N-00659,2024-11-02
43-410141-N-00659,2024-11-05
43-410141-N-00659,2024-11-10
43-410141-N-00659,2024-11-30
43-410141-N-00659,2024-12-02
43-410141-N-00659,2024-12-15
43-410141-N-00686,2018-03-09
43-410141-N-00686,2018-03-22
43-410141-N-00686,2018-03-27
43-410141-N-00686,2018-04-16
43-410141-N-00686,2018-04-18
43-410141-N-00686,2018-05-08
43-410141-N-00686,2018-07-17
43-410141-N-00686,2018-08-19
43-410141-N-00686,2018-10-05
43-410141-N-00686,2018-10-28
43-410141-N-00686,2018-10-30
43-410141-N-00686,2018-11-04
43-410141-N-00686,2018-11-27
43-410141-N-00686,2018-11-29
43-410141-N-00686,2018-12-17
43-410141-N-00686,2019-02-25
43-410141-N-00686,2019-03-12
43-410141-N-00686,2019-04-06
43-410141-N-00686,2019-04-08
43-410141-N-00686,2019-05-23
43-410141-N-00686,2019-06-02
43-410141-N-00686,2019-07-25
43-410141-N-00686,2019-08-11
43-410141-N-00686,2019-08-14
43-410141-N-00686,2019-08-16
43-410141-N-00686,2019-08-19
43-410141-N-00686,2019-09-05
43-410141-N-00686,2019-09-08
43-410141-N-00686,2019-09-10
43-410141-N-00686,2019-11-09
43-410141-N-00686,2019-11-14
43-410141-N-00686,2019-12-07
43-410141-N-00686,2019-12-09
43-410141-N-00686,2019-12-12
43-410141-N-00686,2020-01-28
43-410141-N-00686,2020-02-17
43-410141-N-00686,2020-03-18
43-410141-N-00686,2020-04-12
43-410141-N-00686,2020-04-15
43-410141-N-00686,2020-04-27
43-410141-N-00686,2020-05-12
43-410141-N-00686,2020-08-28
43-410141-N-00686,2020-10-22
43-410141-N-00686,2020-10-24
43-410141-N-00686,2020-11-08
43-410141-N-00686,2020-11-11
43-410141-N-00686,2020-11-13
43-410141-N-00686,2020-12-21
43-410141-N-00686,2021-01-12
43-410141-N-00686,2021-01-15
43-410141-N-00686,2021-02-14
43-410141-N-00686,2021-02-19
43-410141-N-00686,2021-03-28
43-410141-N-00686,2021-04-30
43-410141-N-00686,2021-06-06
43-410141-N-00686,2021-06-24
43-410141-N-00686,2021-07-26
43-410141-N-00686,2021-09-04
43-410141-N-00686,2021-09-14
43-410141-N-00686,2021-09-22
43-410141-N-00686,2021-09-24
43-410141-N-00686,2021-10-02
43-410141-N-00686,2021-10-04
43-410141-N-00686,2021-10-24
43-410141-N-00686,2021-11-08
43-410141-N-00686,2021-11-18
43-410141-N-00686,2021-11-23
43-410141-N-00686,2021-11-26
43-410141-N-00686,2021-12-01
43-410141-N-00686,2021-12-03
43-410141-N-00686,2021-12-06
43-410141-N-00686,2021-12-21
43-410141-N-00686,2021-12-23
43-410141-N-00686,2022-03-08
43-410141-N-00686,2022-03-28
43-410141-N-00686,2022-04-05
43-410141-N-00686,2022-04-07
43-410141-N-00686,2022-04-10
43-410141-N-00686,2022-07-24
43-410141-N-00686,2022-07-26
43-410141-N-00686,2022-08-03
43-410141-N-00686,2022-08-08
43-410141-N-00686,2022-08-18
43-410141-N-00686,2022-09-04
43-410141-N-00686,2022-09-07
43-410141-N-00686,2022-09-12
43-410141-N-00686,2022-09-17
43-410141-N-00686,2022-09-27
43-410141-N-00686,2022-09-29
43-410141-N-00686,2022-10-12
43-410141-N-00686,2022-10-14
43-410141-N-00686,2022-11-26
43-410141-N-00686,2022-12-11
43-410141-N-00686,2022-12-18
43-410141-N-00686,2022-12-21
43-410141-N-00686,2023-01-07
43-410141-N-00686,2023-01-10
43-410141-N-00686,2023-01-12
43-410141-N-00686,2023-01-30
43-410141-N-00686,2023-03-06
43-410141-N-00686,2023-03-13
43-410141-N-00686,2023-04-30
43-410141-N-00686,2023-08-18
43-410141-N-00686,2023-08-23
43-410141-N-00686,2023-09-17
43-410141-N-00686,2023-10-14
43-410141-N-00686,2023-10-17
43-410141-N-00686,2023-10-22
43-410141-N-00686,2023-11-01
43-410141-N-00686,2023-11-16
43-410141-N-00686,2023-11-21
43-410141-N-00686,2023-11-28
43-410141-N-00686,2023-12-06
43-410141-N-00686,2023-12-21
43-410141-N-00686,2023-12-23
43-410141-N-00686,2023-12-31
43-410141-N-00686,2024-01-10
43-410141-N-00686,2024-02-11
43-410141-N-00686,2024-03-02
43-410141-N-00686,2024-05-14
43-410141-N-00686,2024-09-01
43-410141-N-00686,2024-09-03
43-410141-N-00686,2024-09-23
43-410141-N-00686,2024-10-23
43-410141-N-00686,2024-10-26
43-410141-N-00686,2024-10-31
43-410141-N-00686,2024-11-02
43-410141-N-00686,2024-11-05
43-410141-N-00686,2024-11-07
43-410141-N-00686,2024-11-10
43-410141-N-00686,2024-11-30
43-410141-N-00686,2024-12-02
43-410141-N-00686,2024-12-15
43-410142-Y-02072,2018-04-10
43-410142-Y-02072,2018-07-19
43-410142-Y-02072,2018-07-24
43-410142-Y-02072,2018-08-13
43-410142-Y-02072,2018-10-02
43-410142-Y-02072,2018-10-07
43-410142-Y-02072,2018-10-12
43-410142-Y-02072,2018-10-27
43-410142-Y-02072,2018-11-01
43-410142-Y-02072,2018-11-26
43-410142-Y-02072,2018-12-16
43-410142-Y-02072,2019-03-11
43-410142-Y-02072,2019-05-10
43-410142-Y-02072,2019-06-04
43-410142-Y-02072,2019-06-14
43-410142-Y-02072,2019-08-03
43-410142-Y-02072,2019-09-07
43-410142-Y-02072,2019-09-12
43-410142-Y-02072,2019-09-22
43-410142-Y-02072,2019-11-01
43-410142-Y-02072,2019-12-06
43-410142-Y-02072,2020-01-30
43-410142-Y-02072,2020-02-24
43-410142-Y-02072,2020-03-10
43-410142-Y-02072,2020-03-15
43-410142-Y-02072,2020-03-20
43-410142-Y-02072,2020-04-29
43-410142-Y-02072,2020-05-19
43-410142-Y-02072,2020-07-23
43-410142-Y-02072,2020-08-02
43-410142-Y-02072,2020-08-17
43-410142-Y-02072,2020-08-27
43-410142-Y-02072,2020-09-01
43-410142-Y-02072,2020-10-11
43-410142-Y-02072,2020-11-05
43-410142-Y-02072,2020-11-10
43-410142-Y-02072,2020-11-15
43-410142-Y-02072,2020-12-20
43-410142-Y-02072,2020-12-25
43-410142-Y-02072,2020-12-30
43-410142-Y-02072,2021-01-09
43-410142-Y-02072,2021-01-14
43-410142-Y-02072,2021-01-19
43-410142-Y-02072,2021-01-24
43-410142-Y-02072,2021-01-29
43-410142-Y-02072,2021-02-18
43-410142-Y-02072,2021-02-23
43-410142-Y-02072,2021-03-25
43-410142-Y-02072,2021-04-29
43-410142-Y-02072,2021-08-02
43-410142-Y-02072,2021-09-01
43-410142-Y-02072,2021-09-16
43-410142-Y-02072,2021-09-21
43-410142-Y-02072,2021-09-26
43-410142-Y-02072,2021-10-01
43-410142-Y-02072,2021-11-10
43-410142-Y-02072,2021-11-25
43-410142-Y-02072,2021-11-30
43-410142-Y-02072,2021-12-05
43-410142-Y-02072,2021-12-10
43-410142-Y-02072,2021-12-20
43-410142-Y-02072,2022-04-24
43-410142-Y-02072,2022-07-13
43-410142-Y-02072,2022-07-23
43-410142-Y-02072,2022-08-02
43-410142-Y-02072,2022-08-12
43-410142-Y-02072,2022-08-22
43-410142-Y-02072,2022-09-06
43-410142-Y-02072,2022-09-11
43-410142-Y-02072,2022-09-16
43-410142-Y-02072,2022-09-26
43-410142-Y-02072,2022-10-01
43-410142-Y-02072,2022-10-11
43-410142-Y-02072,2022-10-16
43-410142-Y-02072,2022-11-10
43-410142-Y-02072,2022-12-10
43-410142-Y-02072,2023-01-04
43-410142-Y-02072,2023-01-09
43-410142-Y-02072,2023-01-24
43-410142-Y-02072,2023-01-29
43-410142-Y-02072,2023-03-05
43-410142-Y-02072,2023-03-15
43-410142-Y-02072,2023-04-09
43-410142-Y-02072,2023-05-29
43-410142-Y-02072,2023-08-17
43-410142-Y-02072,2023-09-01
43-410142-Y-02072,2023-09-11
43-410142-Y-02072,2023-10-11
43-410142-Y-02072,2023-10-16
43-410142-Y-02072,2023-10-21
43-410142-Y-02072,2023-11-20
43-410142-Y-02072,2023-12-25
43-410142-Y-02072,2024-01-24
43-410142-Y-02072,2024-03-19
43-410142-Y-02072,2024-03-29
43-410142-Y-02072,2024-07-22
43-410142-Y-02072,2024-09-30
43-410142-Y-02072,2024-10-05
43-410142-Y-02072,2024-10-25
43-410142-Y-02072,2024-10-30
43-410142-Y-02072,2024-11-04
43-410142-Y-02072,2024-11-29
43-410142-Y-02072,2024-12-19
43-410142-Y-02077,2018-02-04
43-410142-Y-02077,2018-04-10
43-410142-Y-02077,2018-07-19
43-410142-Y-02077,2018-07-24
43-410142-Y-02077,2018-07-29
43-410142-Y-02077,2018-10-02
43-410142-Y-02077,2018-10-07
43-410142-Y-02077,2018-10-12
43-410142-Y-02077,2018-10-27
43-410142-Y-02077,2018-11-01
43-410142-Y-02077,2018-11-26
43-410142-Y-02077,2018-12-01
43-410142-Y-02077,2018-12-16
43-410142-Y-02077,2019-04-05
43-410142-Y-02077,2019-05-10
43-410142-Y-02077,2019-06-04
43-410142-Y-02077,2019-06-14
43-410142-Y-02077,2019-07-24
43-410142-Y-02077,2019-08-03
43-410142-Y-02077,2019-08-18
43-410142-Y-02077,2019-09-07
43-410142-Y-02077,2019-09-12
43-410142-Y-02077,2019-09-22
43-410142-Y-02077,2019-11-01
43-410142-Y-02077,2019-11-21
43-410142-Y-02077,2019-12-06
43-410142-Y-02077,2020-01-30
43-410142-Y-02077,2020-02-04
43-410142-Y-02077,2020-03-10
43-410142-Y-02077,2020-03-15
43-410142-Y-02077,2020-03-20
43-410142-Y-02077,2020-04-29
43-410142-Y-02077,2020-05-19
43-410142-Y-02077,2020-07-23
43-410142-Y-02077,2020-08-02
43-410142-Y-02077,2020-08-27
43-410142-Y-02077,2020-11-05
43-410142-Y-02077,2020-11-10
43-410142-Y-02077,2020-11-15
43-410142-Y-02077,2020-12-20
43-410142-Y-02077,2020-12-25
43-410142-Y-02077,2020-12-30
43-410142-Y-02077,2021-01-04
43-410142-Y-02077,2021-01-09
43-410142-Y-02077,2021-01-14
43-410142-Y-02077,2021-01-19
43-410142-Y-02077,2021-01-24
43-410142-Y-02077,2021-02-03
43-410142-Y-02077,2021-02-18
43-410142-Y-02077,2021-02-23
43-410142-Y-02077,2021-03-25
43-410142-Y-02077,2021-04-29
43-410142-Y-02077,2021-05-09
43-410142-Y-02077,2021-08-02
43-410142-Y-02077,2021-09-16
43-410142-Y-02077,2021-09-21
43-410142-Y-02077,2021-10-01
43-410142-Y-02077,2021-10-26
43-410142-Y-02077,2021-11-10
43-410142-Y-02077,2021-11-15
43-410142-Y-02077,2021-11-25
43-410142-Y-02077,2021-11-30
43-410142-Y-02077,2021-12-05
43-410142-Y-02077,2021-12-10
43-410142-Y-02077,2021-12-20
43-410142-Y-02077,2021-12-30
43-410142-Y-02077,2022-03-05
43-410142-Y-02077,2022-03-15
43-410142-Y-02077,2022-04-24
43-410142-Y-02077,2022-07-13
43-410142-Y-02077,2022-07-23
43-410142-Y-02077,2022-08-02
43-410142-Y-02077,2022-08-12
43-410142-Y-02077,2022-08-17
43-410142-Y-02077,2022-08-22
43-410142-Y-02077,2022-09-06
43-410142-Y-02077,2022-09-11
43-410142-Y-02077,2022-09-16
43-410142-Y-02077,2022-09-26
43-410142-Y-02077,2022-10-01
43-410142-Y-02077,2022-10-11
43-410142-Y-02077,2022-10-16
43-410142-Y-02077,2022-11-10
43-410142-Y-02077,2022-12-10
43-410142-Y-02077,2022-12-25
43-410142-Y-02077,2023-01-04
43-410142-Y-02077,2023-01-09
43-410142-Y-02077,2023-01-24
43-410142-Y-02077,2023-01-29
43-410142-Y-02077,2023-03-05
43-410142-Y-02077,2023-03-15
43-410142-Y-02077,2023-04-09
43-410142-Y-02077,2023-05-09
43-410142-Y-02077,2023-05-29
43-410142-Y-02077,2023-08-17
43-410142-Y-02077,2023-09-01
43-410142-Y-02077,2023-09-11
43-410142-Y-02077,2023-10-11
43-410142-Y-02077,2023-10-16
43-410142-Y-02077,2023-10-21
43-410142-Y-02077,2023-11-20
43-410142-Y-02077,2023-12-25
43-410142-Y-02077,2023-12-30
43-410142-Y-02077,2024-01-04
43-410142-Y-02077,2024-01-24
43-410142-Y-02077,2024-03-19
43-410142-Y-02077,2024-03-29
43-410142-Y-02077,2024-07-22
43-410142-Y-02077,2024-08-26
43-410142-Y-02077,2024-10-05
43-410142-Y-02077,2024-10-25
43-410142-Y-02077,2024-10-30
43-410142-Y-02077,2024-11-04
43-410142-Y-02077,2024-11-29
43-410142-Y-02077,2024-12-04
43-410142-Y-02077,2024-12-14
43-410142-Y-02077,2024-12-19
43-410142-Y-02077,2024-12-24
43-410142-Y-02077,2024-12-29
43-410162-Y-02886,2018-04-10
43-410162-Y-02886,2018-05-15
43-410162-Y-02886,2018-05-25
43-410162-Y-02886,2018-06-29
43-410162-Y-02886,2018-07-19
43-410162-Y-02886,2018-07-24
43-410162-Y-02886,2018-08-13
43-410162-Y-02886,2018-10-07
43-410162-Y-02886,2018-10-12
43-410162-Y-02886,2018-10-27
43-410162-Y-02886,2018-11-01
43-410162-Y-02886,2018-11-26
43-410162-Y-02886,2018-12-16
43-410162-Y-02886,2019-03-11
43-410162-Y-02886,2019-06-04
43-410162-Y-02886,2019-06-14
43-410162-Y-02886,2019-07-24
43-410162-Y-02886,2019-07-29
43-410162-Y-02886,2019-08-03
43-410162-Y-02886,2019-08-18
43-410162-Y-02886,2019-08-23
43-410162-Y-02886,2019-08-28
43-410162-Y-02886,2019-09-12
43-410162-Y-02886,2019-09-17
43-410162-Y-02886,2019-09-22
43-410162-Y-02886,2019-11-01
43-410162-Y-02886,2019-11-11
43-410162-Y-02886,2019-12-06
43-410162-Y-02886,2019-12-11
43-410162-Y-02886,2020-01-30
43-410162-Y-02886,2020-02-04
43-410162-Y-02886,2020-02-24
43-410162-Y-02886,2020-03-10
43-410162-Y-02886,2020-03-15
43-410162-Y-02886,2020-03-20
43-410162-Y-02886,2020-04-29
43-410162-Y-02886,2020-05-19
43-410162-Y-02886,2020-06-13
43-410162-Y-02886,2020-07-23
43-410162-Y-02886,2020-08-02
43-410162-Y-02886,2020-08-07
43-410162-Y-02886,2020-08-22
43-410162-Y-02886,2020-08-27
43-410162-Y-02886,2020-09-01
43-410162-Y-02886,2020-10-01
43-410162-Y-02886,2020-11-05
43-410162-Y-02886,2020-11-10
43-410162-Y-02886,2020-11-15
43-410162-Y-02886,2020-12-20
43-410162-Y-02886,2020-12-25
43-410162-Y-02886,2020-12-30
43-410162-Y-02886,2021-01-09
43-410162-Y-02886,2021-01-14
43-410162-Y-02886,2021-01-19
43-410162-Y-02886,2021-01-24
43-410162-Y-02886,2021-01-29
43-410162-Y-02886,2021-02-13
43-410162-Y-02886,2021-02-18
43-410162-Y-02886,2021-02-23
43-410162-Y-02886,2021-03-25
43-410162-Y-02886,2021-05-09
43-410162-Y-02886,2021-08-02
43-410162-Y-02886,2021-09-01
43-410162-Y-02886,2021-09-11
43-410162-Y-02886,2021-09-16
43-410162-Y-02886,2021-09-21
43-410162-Y-02886,2021-09-26
43-410162-Y-02886,2021-10-01
43-410162-Y-02886,2021-11-10
43-410162-Y-02886,2021-11-25
43-410162-Y-02886,2021-11-30
43-410162-Y-02886,2021-12-05
43-410162-Y-02886,2021-12-10
43-410162-Y-02886,2021-12-20
43-410162-Y-02886,2022-03-15
43-410162-Y-02886,2022-04-04
43-410162-Y-02886,2022-04-24
43-410162-Y-02886,2022-06-23
43-410162-Y-02886,2022-07-13
43-410162-Y-02886,2022-07-23
43-410162-Y-02886,2022-08-02
43-410162-Y-02886,2022-08-12
43-410162-Y-02886,2022-08-17
43-410162-Y-02886,2022-08-22
43-410162-Y-02886,2022-09-06
43-410162-Y-02886,2022-09-11
43-410162-Y-02886,2022-09-16
43-410162-Y-02886,2022-09-21
43-410162-Y-02886,2022-09-26
43-410162-Y-02886,2022-10-01
43-410162-Y-02886,2022-10-11
43-410162-Y-02886,2022-11-10
43-410162-Y-02886,2022-12-10
43-410162-Y-02886,2022-12-25
43-410162-Y-02886,2023-01-04
43-410162-Y-02886,2023-01-09
43-410162-Y-02886,2023-01-24
43-410162-Y-02886,2023-01-29
43-410162-Y-02886,2023-03-05
43-410162-Y-02886,2023-03-10
43-410162-Y-02886,2023-03-15
43-410162-Y-02886,2023-04-09
43-410162-Y-02886,2023-05-19
43-410162-Y-02886,2023-05-29
43-410162-Y-02886,2023-08-17
43-410162-Y-02886,2023-09-01
43-410162-Y-02886,2023-09-11
43-410162-Y-02886,2023-10-11
43-410162-Y-02886,2023-10-16
43-410162-Y-02886,2023-10-21
43-410162-Y-02886,2023-10-31
43-410162-Y-02886,2023-11-05
43-410162-Y-02886,2023-11-20
43-410162-Y-02886,2023-12-25
43-410162-Y-02886,2024-01-24
43-410162-Y-02886,2024-03-19
43-410162-Y-02886,2024-03-29
43-410162-Y-02886,2024-07-17
43-410162-Y-02886,2024-07-22
43-410162-Y-02886,2024-09-25
43-410162-Y-02886,2024-09-30
43-410162-Y-02886,2024-10-05
43-410162-Y-02886,2024-10-10
43-410162-Y-02886,2024-10-25
43-410162-Y-02886,2024-10-30
43-410162-Y-02886,2024-11-04
43-410162-Y-02886,2024-11-09
43-410162-Y-02886,2024-11-29
43-410162-Y-02886,2024-12-04
43-410162-Y-02886,2024-12-14
43-410162-Y-02886,2024-12-19
43-410162-Y-02886,2024-12-29
43-410181-N-00678,2018-03-09
43-410181-N-00678,2018-04-03
43-410181-N-00678,2018-04-18
43-410181-N-00678,2018-04-28
43-410181-N-00678,2018-06-17
43-410181-N-00678,2018-07-17
43-410181-N-00678,2018-09-05
43-410181-N-00678,2018-10-05
43-410181-N-00678,2018-10-30
43-410181-N-00678,2018-11-04
43-410181-N-00678,2018-11-29
43-410181-N-00678,2019-04-08
43-410181-N-00678,2019-05-03
43-410181-N-00678,2019-05-23
43-410181-N-00678,2019-08-11
43-410181-N-00678,2019-08-16
43-410181-N-00678,2019-09-05
43-410181-N-00678,2019-09-10
43-410181-N-00678,2019-09-20
43-410181-N-00678,2019-09-30
43-410181-N-00678,2019-10-05
43-410181-N-00678,2019-10-10
43-410181-N-00678,2019-10-30
43-410181-N-00678,2019-11-09
43-410181-N-00678,2019-11-14
43-410181-N-00678,2019-12-04
43-410181-N-00678,2020-01-28
43-410181-N-00678,2020-02-17
43-410181-N-00678,2020-03-18
43-410181-N-00678,2020-04-12
43-410181-N-00678,2020-04-27
43-410181-N-00678,2020-05-12
43-410181-N-00678,2020-06-16
43-410181-N-00678,2020-08-05
43-410181-N-00678,2020-08-15
43-410181-N-00678,2020-08-30
43-410181-N-00678,2020-10-24
43-410181-N-00678,2020-11-08
43-410181-N-00678,2020-11-13
43-410181-N-00678,2020-11-18
43-410181-N-00678,2021-01-02
43-410181-N-00678,2021-01-12
43-410181-N-00678,2021-03-28
43-410181-N-00678,2021-06-06
43-410181-N-00678,2021-07-26
43-410181-N-00678,2021-08-30
43-410181-N-00678,2021-09-04
43-410181-N-00678,2021-09-24
43-410181-N-00678,2021-10-04
43-410181-N-00678,2021-10-24
43-410181-N-00678,2021-11-18
43-410181-N-00678,2021-12-03
43-410181-N-00678,2021-12-18
43-410181-N-00678,2021-12-23
43-410181-N-00678,2022-01-02
43-410181-N-00678,2022-03-08
43-410181-N-00678,2022-03-13
43-410181-N-00678,2022-03-28
43-410181-N-00678,2022-04-07
43-410181-N-00678,2022-07-26
43-410181-N-00678,2022-08-10
43-410181-N-00678,2022-09-14
43-410181-N-00678,2022-09-29
43-410181-N-00678,2022-10-14
43-410181-N-00678,2022-10-19
43-410181-N-00678,2022-11-03
43-410181-N-00678,2022-11-28
43-410181-N-00678,2022-12-18
43-410181-N-00678,2023-01-07
43-410181-N-00678,2023-02-26
43-410181-N-00678,2023-04-07
43-410181-N-00678,2023-07-21
43-410181-N-00678,2023-10-14
43-410181-N-00678,2023-11-28
43-410181-N-00678,2023-12-23
43-410181-N-00678,2023-12-28
43-410181-N-00678,2024-02-11
43-410181-N-00678,2024-08-04
43-410181-N-00678,2024-08-09
43-410181-N-00678,2024-08-24
43-410181-N-00678,2024-09-23
43-410181-N-00678,2024-10-23
43-410181-N-00678,2024-11-02
43-410181-N-00678,2024-11-07
43-410181-N-00678,2024-11-12
43-410181-N-00678,2024-12-02
43-410181-Y-02970,2018-03-09
43-410181-Y-02970,2018-04-03
43-410181-Y-02970,2018-04-18
43-410181-Y-02970,2018-04-28
43-410181-Y-02970,2018-07-17
43-410181-Y-02970,2018-07-22
43-410181-Y-02970,2018-09-05
43-410181-Y-02970,2018-10-05
43-410181-Y-02970,2018-10-30
43-410181-Y-02970,2018-11-04
43-410181-Y-02970,2018-11-29
43-410181-Y-02970,2019-04-08
43-410181-Y-02970,2019-05-03
43-410181-Y-02970,2019-05-23
43-410181-Y-02970,2019-06-02
43-410181-Y-02970,2019-07-22
43-410181-Y-02970,2019-08-11
43-410181-Y-02970,2019-08-16
43-410181-Y-02970,2019-09-05
43-410181-Y-02970,2019-09-10
43-410181-Y-02970,2019-09-20
43-410181-Y-02970,2019-09-30
43-410181-Y-02970,2019-10-10
43-410181-Y-02970,2019-10-30
43-410181-Y-02970,2019-11-09
43-410181-Y-02970,2019-11-14
43-410181-Y-02970,2019-12-04
43-410181-Y-02970,2020-01-28
43-410181-Y-02970,2020-02-17
43-410181-Y-02970,2020-03-18
43-410181-Y-02970,2020-04-12
43-410181-Y-02970,2020-05-12
43-410181-Y-02970,2020-08-05
43-410181-Y-02970,2020-08-15
43-410181-Y-02970,2020-10-24
43-410181-Y-02970,2020-11-08
43-410181-Y-02970,2020-11-13
43-410181-Y-02970,2020-11-18
43-410181-Y-02970,2021-01-02
43-410181-Y-02970,2021-01-12
43-410181-Y-02970,2021-03-28
43-410181-Y-02970,2021-07-26
43-410181-Y-02970,2021-08-30
43-410181-Y-02970,2021-09-04
43-410181-Y-02970,2021-09-24
43-410181-Y-02970,2021-10-04
43-410181-Y-02970,2021-10-24
43-410181-Y-02970,2021-11-08
43-410181-Y-02970,2021-11-18
43-410181-Y-02970,2021-12-03
43-410181-Y-02970,2021-12-18
43-410181-Y-02970,2021-12-23
43-410181-Y-02970,2022-01-02
43-410181-Y-02970,2022-03-08
43-410181-Y-02970,2022-03-13
43-410181-Y-02970,2022-03-28
43-410181-Y-02970,2022-04-07
43-410181-Y-02970,2022-07-26
43-410181-Y-02970,2022-08-10
43-410181-Y-02970,2022-09-14
43-410181-Y-02970,2022-09-29
43-410181-Y-02970,2022-10-14
43-410181-Y-02970,2022-10-19
43-410181-Y-02970,2022-11-03
43-410181-Y-02970,2022-11-28
43-410181-Y-02970,2022-12-18
43-410181-Y-02970,2022-12-23
43-410181-Y-02970,2023-01-07
43-410181-Y-02970,2023-02-26
43-410181-Y-02970,2023-04-07
43-410181-Y-02970,2023-07-21
43-410181-Y-02970,2023-10-14
43-410181-Y-02970,2023-11-28
43-410181-Y-02970,2023-12-23
43-410181-Y-02970,2023-12-28
43-410181-Y-02970,2024-02-11
43-410181-Y-02970,2024-08-04
43-410181-Y-02970,2024-08-24
43-410181-Y-02970,2024-09-23
43-410181-Y-02970,2024-09-28
43-410181-Y-02970,2024-10-23
43-410181-Y-02970,2024-11-02
43-410181-Y-02970,2024-11-07
